county,state,stcode,ctycode,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Boyd County,Nebraska,31,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brown County,Nebraska,31,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buffalo County,Nebraska,31,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Burt County,Nebraska,31,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butler County,Nebraska,31,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cass County,Nebraska,31,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Cedar County,Nebraska,31,27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Chase County,Nebraska,31,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cherry County,Nebraska,31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheyenne County,Nebraska,31,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clay County,Nebraska,31,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colfax County,Nebraska,31,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuming County,Nebraska,31,39,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Custer County,Nebraska,31,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dakota County,Nebraska,31,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
Dawes County,Nebraska,31,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Dawson County,Nebraska,31,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deuel County,Nebraska,31,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Dixon County,Nebraska,31,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dodge County,Nebraska,31,53,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Douglas County,Nebraska,31,55,1,3,1,1,0,3,1,5,2,3,3,6,2,3,3,6,4,2,7,1
Dundy County,Nebraska,31,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fillmore County,Nebraska,31,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franklin County,Nebraska,31,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontier County,Nebraska,31,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Furnas County,Nebraska,31,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gage County,Nebraska,31,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Garden County,Nebraska,31,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garfield County,Nebraska,31,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gosper County,Nebraska,31,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant County,Nebraska,31,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greeley County,Nebraska,31,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hall County,Nebraska,31,79,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0
Hamilton County,Nebraska,31,81,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Harlan County,Nebraska,31,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hayes County,Nebraska,31,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hitchcock County,Nebraska,31,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holt County,Nebraska,31,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hooker County,Nebraska,31,91,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Howard County,Nebraska,31,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson County,Nebraska,31,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnson County,Nebraska,31,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kearney County,Nebraska,31,99,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Keith County,Nebraska,31,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keya Paha County,Nebraska,31,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kimball County,Nebraska,31,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Knox County,Nebraska,31,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lancaster County,Nebraska,31,109,1,1,1,0,2,2,2,0,1,3,4,6,3,2,2,1,1,6,0,2
Lincoln County,Nebraska,31,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan County,Nebraska,31,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loup County,Nebraska,31,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McPherson County,Nebraska,31,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison County,Nebraska,31,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Merrick County,Nebraska,31,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morrill County,Nebraska,31,123,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nance County,Nebraska,31,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nemaha County,Nebraska,31,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuckolls County,Nebraska,31,129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otoe County,Nebraska,31,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Pawnee County,Nebraska,31,133,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Perkins County,Nebraska,31,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phelps County,Nebraska,31,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierce County,Nebraska,31,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Platte County,Nebraska,31,141,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Polk County,Nebraska,31,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Red Willow County,Nebraska,31,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richardson County,Nebraska,31,147,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Rock County,Nebraska,31,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saline County,Nebraska,31,151,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sarpy County,Nebraska,31,153,1,1,0,0,0,3,0,0,0,1,0,1,2,2,1,4,1,3,1,1
Saunders County,Nebraska,31,155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotts Bluff County,Nebraska,31,157,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seward County,Nebraska,31,159,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sheridan County,Nebraska,31,161,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Sherman County,Nebraska,31,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sioux County,Nebraska,31,165,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Stanton County,Nebraska,31,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thayer County,Nebraska,31,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas County,Nebraska,31,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thurston County,Nebraska,31,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valley County,Nebraska,31,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington County,Nebraska,31,177,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
Wayne County,Nebraska,31,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Webster County,Nebraska,31,181,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Wheeler County,Nebraska,31,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
York County,Nebraska,31,185,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Churchill County,Nevada,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
Clark County,Nevada,32,3,3,1,3,1,0,1,9,3,4,1,3,3,7,3,5,12,12,9,11,3
Douglas County,Nevada,32,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
Elko County,Nevada,32,7,0,0,0,0,1,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0
Esmeralda County,Nevada,32,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Eureka County,Nevada,32,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Humboldt County,Nevada,32,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Lander County,Nevada,32,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln County,Nevada,32,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon County,Nevada,32,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Mineral County,Nevada,32,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nye County,Nevada,32,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Pershing County,Nevada,32,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Storey County,Nevada,32,29,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Washoe County,Nevada,32,31,0,1,0,0,1,2,6,8,6,1,1,2,3,1,2,2,1,3,1,0
White Pine County,Nevada,32,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carson City,Nevada,32,510,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,1,0
Belknap County,New Hampshire,33,1,9,6,6,11,2,10,6,22,20,34,42,29,47,25,20,36,61,41,72,17
Carroll County,New Hampshire,33,3,1,9,2,9,4,5,19,16,18,35,53,48,60,14,12,35,68,73,96,28
Cheshire County,New Hampshire,33,5,0,5,7,3,6,12,13,36,34,29,61,43,72,40,30,33,52,38,75,6
Coos County,New Hampshire,33,7,3,1,1,2,4,4,3,2,3,5,10,5,2,4,2,7,8,5,10,1
Grafton County,New Hampshire,33,9,5,2,10,6,5,7,14,18,19,45,40,42,78,26,27,41,64,81,119,15
Hillsborough County,New Hampshire,33,11,19,36,37,38,75,151,218,449,438,423,386,425,499,136,123,215,374,395,419,87
Merrimack County,New Hampshire,33,13,11,13,10,16,9,28,45,104,89,109,107,126,147,92,83,117,220,190,250,54
Rockingham County,New Hampshire,33,15,59,115,78,103,129,310,395,671,582,500,422,546,523,222,142,257,317,351,415,55
Strafford County,New Hampshire,33,17,21,73,35,37,31,88,180,262,191,137,156,171,212,86,65,100,113,170,159,27
Sullivan County,New Hampshire,33,19,1,1,4,1,0,2,3,14,21,22,22,15,39,29,12,11,41,33,74,9
Atlantic County,New Jersey,34,1,62,74,129,156,137,98,160,123,137,124,123,97,67,101,114,93,66,75,94,63
Bergen County,New Jersey,34,3,40,127,122,86,163,118,157,174,281,166,221,183,241,212,275,279,303,232,196,170
Burlington County,New Jersey,34,5,6,20,92,132,158,109,174,278,406,246,233,260,211,196,258,280,227,186,234,156
Camden County,New Jersey,34,7,4,12,19,43,54,5,2,2,6,9,89,88,129,113,138,123,159,157,80,67
Cape May County,New Jersey,34,9,8,7,40,46,39,20,38,36,40,27,43,41,26,12,27,19,22,31,26,28
Cumberland County,New Jersey,34,11,18,17,72,62,90,71,164,98,195,97,84,88,60,60,86,98,99,81,63,61
Essex County,New Jersey,34,13,37,84,93,86,111,59,91,122,209,146,147,121,131,114,165,158,207,167,113,92
Gloucester County,New Jersey,34,15,44,55,76,111,200,101,7,100,149,112,134,138,101,124,128,119,124,109,140,102
Hudson County,New Jersey,34,17,6,9,13,10,12,4,16,17,59,40,28,26,49,44,54,50,72,26,24,10
Hunterdon County,New Jersey,34,19,492,412,403,326,366,273,256,379,444,323,440,207,225,89,456,210,444,335,339,214
Mercer County,New Jersey,34,21,32,32,68,112,225,150,206,234,253,158,217,141,141,143,249,262,222,165,186,180
Middlesex County,New Jersey,34,23,81,134,89,66,81,53,73,54,182,134,221,158,160,220,288,303,321,154,171,111
Monmouth County,New Jersey,34,25,168,167,211,242,272,285,278,259,409,336,356,337,372,439,530,492,550,506,368,278
Morris County,New Jersey,34,27,416,398,440,339,524,292,330,404,640,479,478,401,558,408,572,539,649,472,425,299
Ocean County,New Jersey,34,29,105,126,166,220,182,149,203,149,189,249,222,204,210,232,290,274,302,290,225,84
Passaic County,New Jersey,34,31,21,35,65,78,66,46,91,156,253,177,173,172,180,190,244,204,165,149,132,90
Salem County,New Jersey,34,33,29,21,26,22,33,9,56,44,45,30,65,53,52,19,37,32,45,58,46,37
Somerset County,New Jersey,34,35,128,128,148,146,162,134,149,153,256,204,171,251,215,144,258,216,280,225,200,139
Sussex County,New Jersey,34,37,155,262,336,219,246,270,354,353,434,399,442,335,347,258,309,260,331,246,251,139
Union County,New Jersey,34,39,16,33,39,61,24,25,55,67,88,67,89,76,78,59,107,95,110,92,62,41
Warren County,New Jersey,34,41,149,195,240,135,217,159,267,257,292,188,282,196,213,108,269,243,393,244,242,197
Bernalillo County,New Mexico,35,1,0,0,1,1,0,1,1,1,3,4,1,1,3,0,0,0,0,0,5,0
Catron County,New Mexico,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaves County,New Mexico,35,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cibola County,New Mexico,35,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Colfax County,New Mexico,35,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curry County,New Mexico,35,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
De Baca County,New Mexico,35,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doña Ana County,New Mexico,35,13,0,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,1,0,0,0
Eddy County,New Mexico,35,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant County,New Mexico,35,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guadalupe County,New Mexico,35,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harding County,New Mexico,35,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hidalgo County,New Mexico,35,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lea County,New Mexico,35,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Lincoln County,New Mexico,35,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Alamos County,New Mexico,35,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Luna County,New Mexico,35,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
McKinley County,New Mexico,35,31,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mora County,New Mexico,35,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otero County,New Mexico,35,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Quay County,New Mexico,35,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Arriba County,New Mexico,35,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roosevelt County,New Mexico,35,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sandoval County,New Mexico,35,43,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0
San Juan County,New Mexico,35,45,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
San Miguel County,New Mexico,35,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Fe County,New Mexico,35,49,1,0,0,0,0,1,0,1,0,1,3,0,1,0,0,1,1,0,2,0
Sierra County,New Mexico,35,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Socorro County,New Mexico,35,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taos County,New Mexico,35,55,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
Torrance County,New Mexico,35,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union County,New Mexico,35,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valencia County,New Mexico,35,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albany County,New York,36,1,66,165,99,226,307,348,427,638,276,157,364,114,123,104,129,53,155,116,143,54
Allegany County,New York,36,3,1,1,2,2,1,0,1,2,6,6,3,4,3,1,6,4,14,5,14,11
Bronx County,New York,36,5,8,9,20,28,27,18,33,73,74,57,39,32,47,49,46,51,47,34,25,23
Broome County,New York,36,7,0,1,5,5,11,4,3,19,24,22,62,64,109,65,47,63,100,56,76,43
Cattaraugus County,New York,36,9,0,0,0,0,0,0,0,4,9,3,6,3,4,5,12,12,29,17,51,14
Cayuga County,New York,36,11,2,1,0,0,2,1,1,0,10,2,2,3,12,7,11,7,20,7,36,22
Chautauqua County,New York,36,13,2,0,1,2,3,1,2,7,8,3,7,6,9,6,2,4,4,9,31,9
Chemung County,New York,36,15,0,1,0,0,4,0,2,0,3,1,7,6,25,30,62,94,115,21,8,2
Chenango County,New York,36,17,0,2,0,0,1,2,7,4,10,8,20,14,34,37,63,44,127,83,29,29
Clinton County,New York,36,19,5,2,9,5,5,3,1,7,6,9,13,9,38,25,22,30,55,42,61,14
Columbia County,New York,36,21,647,999,904,404,362,375,318,584,356,220,238,183,216,185,238,202,237,129,188,101
Cortland County,New York,36,23,1,0,0,0,1,1,3,1,6,4,4,7,8,14,11,25,46,22,92,52
Delaware County,New York,36,25,2,2,0,2,6,2,4,9,9,8,10,13,23,25,48,55,124,38,50,26
Dutchess County,New York,36,27,1121,1720,1283,1076,1398,930,551,1141,413,206,205,132,173,225,171,132,194,292,275,59
Erie County,New York,36,29,4,4,1,1,10,4,7,8,14,15,14,11,21,30,23,53,89,66,31,39
Essex County,New York,36,31,2,2,1,2,1,4,6,24,43,24,16,22,83,32,45,75,61,17,36,4
Franklin County,New York,36,33,0,3,1,0,1,2,1,5,5,7,9,7,18,9,12,15,41,23,68,13
Fulton County,New York,36,35,1,0,0,1,2,0,1,6,10,3,8,9,23,13,24,6,40,29,78,42
Genesee County,New York,36,37,0,0,1,0,0,0,0,1,0,0,1,1,2,4,10,6,6,6,14,4
Greene County,New York,36,39,95,179,119,99,121,147,157,313,247,127,148,114,204,131,156,121,152,69,83,52
Hamilton County,New York,36,41,0,0,0,1,0,0,3,0,1,1,0,0,1,1,1,2,1,1,2,1
Herkimer County,New York,36,43,1,3,2,2,2,5,4,11,15,9,12,23,38,20,35,25,48,31,46,11
Jefferson County,New York,36,45,4,7,1,1,2,14,8,37,49,30,44,43,101,29,18,15,19,14,31,5
Kings County,New York,36,47,5,13,42,60,71,79,82,178,255,156,178,125,245,285,331,322,381,281,281,284
Lewis County,New York,36,49,0,0,0,0,0,0,0,2,3,3,2,7,7,4,9,16,19,14,43,18
Livingston County,New York,36,51,0,1,2,0,1,0,0,2,2,1,5,1,4,1,2,3,14,13,43,12
Madison County,New York,36,53,2,5,4,3,3,1,0,11,6,8,14,6,35,7,17,29,67,57,82,0
Monroe County,New York,36,55,3,4,3,4,10,6,10,12,25,13,22,40,89,60,45,53,85,45,37,18
Montgomery County,New York,36,57,1,1,1,2,3,4,7,25,21,23,30,20,26,18,22,14,42,49,57,26
Nassau County,New York,36,59,48,82,75,59,122,116,104,40,122,21,30,14,25,25,44,48,30,31,29,28
New York County,New York,36,61,37,23,105,189,225,170,221,403,528,362,352,262,308,337,326,322,383,264,286,243
Niagara County,New York,36,63,1,1,3,1,0,1,2,3,5,4,1,1,5,7,5,0,7,2,3,5
Oneida County,New York,36,65,1,2,2,1,5,3,9,26,14,18,49,36,82,41,32,13,20,24,29,37
Onondaga County,New York,36,67,5,9,7,11,10,13,10,67,35,29,86,24,45,40,43,18,66,71,38,13
Ontario County,New York,36,69,1,2,1,2,2,2,3,2,3,5,2,7,18,15,26,21,62,34,37,14
Orange County,New York,36,71,532,541,587,518,536,467,290,396,419,241,316,189,257,194,206,166,158,145,115,51
Orleans County,New York,36,73,0,0,1,0,1,0,1,1,0,0,0,0,4,2,3,2,2,5,6,1
Oswego County,New York,36,75,2,0,4,3,0,1,4,6,4,5,8,17,56,35,51,76,125,34,40,17
Otsego County,New York,36,77,1,3,2,1,0,2,8,14,13,17,35,32,63,53,39,39,88,45,90,21
Putnam County,New York,36,79,211,247,303,205,191,149,140,202,133,61,102,76,125,98,122,113,129,168,121,53
Queens County,New York,36,81,8,11,41,42,46,21,52,104,134,118,117,88,104,103,114,128,149,85,111,114
Rensselaer County,New York,36,83,88,122,157,200,208,271,349,542,296,148,281,214,310,196,229,188,226,107,170,92
Richmond County,New York,36,85,5,3,12,37,31,17,29,50,60,34,45,35,39,75,121,123,123,88,53,48
Rockland County,New York,36,87,97,120,196,167,254,243,200,353,325,99,96,88,108,99,126,53,49,48,48,54
St. Lawrence County,New York,36,89,1,1,4,2,2,1,10,25,47,33,40,50,155,111,53,57,93,33,88,26
Saratoga County,New York,36,91,15,15,11,42,69,83,126,364,148,104,170,136,207,67,124,106,121,77,126,56
Schenectady County,New York,36,93,3,7,13,17,26,22,34,93,38,23,30,18,29,23,38,32,29,19,22,9
Schoharie County,New York,36,95,2,2,2,2,4,5,11,23,26,14,29,12,31,20,33,30,59,73,78,16
Schuyler County,New York,36,97,0,1,1,0,0,1,1,1,1,4,7,14,34,9,26,20,46,24,39,14
Seneca County,New York,36,99,0,1,2,0,2,2,0,0,3,0,8,4,4,2,8,12,18,12,27,6
Steuben County,New York,36,101,0,0,0,0,1,0,0,5,2,3,4,9,20,23,36,68,105,74,23,10
Suffolk County,New York,36,103,417,513,288,561,542,190,124,542,216,297,334,240,201,231,256,243,202,193,151,105
Sullivan County,New York,36,105,8,18,15,39,36,34,69,118,50,38,37,23,26,22,26,21,15,14,26,0
Tioga County,New York,36,107,3,4,3,3,1,2,3,1,7,16,24,27,61,42,82,65,30,19,30,8
Tompkins County,New York,36,109,3,5,10,5,3,2,8,42,49,70,145,21,43,29,37,39,72,58,55,37
Ulster County,New York,36,111,202,334,300,295,400,358,361,778,582,269,193,152,222,197,201,138,179,116,139,39
Warren County,New York,36,113,3,1,0,9,12,12,20,20,94,34,19,33,76,46,32,28,14,11,53,12
Washington County,New York,36,115,0,1,5,17,22,56,83,183,181,115,272,77,127,58,68,47,36,17,47,31
Wayne County,New York,36,117,2,1,0,0,0,0,2,2,1,1,3,2,15,7,13,17,21,15,48,20
Westchester County,New York,36,119,413,339,746,746,458,263,251,264,207,114,167,71,79,92,150,99,108,113,79,56
Wyoming County,New York,36,121,1,1,1,0,1,1,1,0,2,1,1,2,1,2,3,3,2,1,11,3
Yates County,New York,36,123,0,0,1,0,0,1,0,0,0,1,4,5,14,13,23,16,56,32,14,13
Alamance County,North Carolina,37,1,0,0,2,1,0,2,0,1,1,0,0,1,2,2,1,1,2,1,4,4
Alexander County,North Carolina,37,3,0,0,1,2,0,0,0,0,0,0,0,1,0,0,3,2,2,1,2,1
Alleghany County,North Carolina,37,5,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,12,10,20,12,12
Anson County,North Carolina,37,7,0,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
Ashe County,North Carolina,37,9,1,2,5,0,0,0,0,2,0,2,0,0,0,2,4,10,8,15,39,36
Avery County,North Carolina,37,11,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
Beaufort County,North Carolina,37,13,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
Bertie County,North Carolina,37,15,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Bladen County,North Carolina,37,17,0,0,1,1,0,0,0,0,1,0,0,1,5,0,0,2,0,0,1,0
Brunswick County,North Carolina,37,19,1,3,1,1,0,1,1,1,0,2,2,3,5,9,4,5,4,4,1,1
Buncombe County,North Carolina,37,21,0,0,1,1,1,0,0,2,3,1,3,0,4,5,14,17,20,18,26,46
Burke County,North Carolina,37,23,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,2
Cabarrus County,North Carolina,37,25,0,1,5,0,0,0,0,1,0,1,1,4,2,1,3,3,4,1,4,2
Caldwell County,North Carolina,37,27,0,1,0,0,0,1,0,1,1,0,0,1,1,0,3,3,1,1,0,1
Camden County,North Carolina,37,29,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0
Carteret County,North Carolina,37,31,0,3,5,4,0,1,0,0,3,0,3,2,2,4,3,3,4,6,5,5
Caswell County,North Carolina,37,33,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1
Catawba County,North Carolina,37,35,0,2,1,2,1,0,0,0,0,0,0,0,0,2,3,1,0,0,7,1
Chatham County,North Carolina,37,37,2,0,1,1,0,0,2,1,1,3,3,0,5,1,1,1,1,1,1,1
Cherokee County,North Carolina,37,39,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Chowan County,North Carolina,37,41,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Clay County,North Carolina,37,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
